input,output
What is the capital of Spain?,The capital of Spain is Madrid.
What is 32 plus 48?,80.
What is the capital of Kuwait?,The capital of Kuwait is Kuwait City.
What is 99 minus 46?,53.
How do I define a function in JavaScript?,"Use function or arrow: const add = (a,b) => a + b;"
What is 76 times 44?,3344.
What is 57 plus 67?,124.
Translate 'yes' into Japanese.,“Yes” in Japanese is “はい (hai).”
What is 82 plus 63?,145.
What is 39 plus 37?,76.
What is 2 plus 44?,46.
What is 60 plus 36?,96.
What is 40 minus 9?,31.
What is the capital of Thailand?,The capital of Thailand is Bangkok.
What is 50 plus 41?,91.
What is 60 minus 7?,53.
What is 11 minus 77?,-66.
What is 29 minus 8?,21.
What is 93 minus 77?,16.
Translate 'please' into German.,“Please” in German is “bitte.”
What is 7 times 36?,252.
What is the capital of Kenya?,The capital of Kenya is Nairobi.
What is photosynthesis?,"Photosynthesis is the process by which plants convert light energy into chemical energy (glucose), releasing oxygen."
What is the capital of Pakistan?,The capital of Pakistan is Islamabad.
What is 46 times 16?,736.
What is 6 times 30?,180.
What is 19 minus 5?,14.
What is 70 minus 21?,49.
What is 25 minus 55?,-30.
What is 90 plus 56?,146.
What is the capital of Japan?,The capital of Japan is Tokyo.
What is 87 minus 71?,16.
What is 37 plus 86?,123.
What is 67 minus 97?,-30.
Define algorithm.,"Here’s a concise definition of algorithm: a finite, step-by-step procedure to solve a problem"
What is 40 minus 21?,19.
What is the capital of United Arab Emirates?,The capital of United Arab Emirates is Abu Dhabi.
What is 11 times 70?,770.
What is 89 plus 75?,164.
Hi,All good here — what’s on your mind?
What is the capital of Argentina?,The capital of Argentina is Buenos Aires.
What is 45 minus 76?,-31.
What is the capital of Colombia?,The capital of Colombia is Bogotá.
What is atom?,An atom is the smallest unit of ordinary matter that forms a chemical element.
What is 37 minus 29?,8.
Translate 'good morning' into Spanish.,“Good morning” in Spanish is “buenos días.”
How do I create a list in Python?,"Use square brackets, e.g. nums = [1, 2, 3]."
What is the capital of Venezuela?,The capital of Venezuela is Caracas.
What is 92 times 60?,5520.
What is 85 minus 78?,7.
Define photosynthesis.,"Here’s a concise definition of photosynthesis: plants converting light into chemical energy (glucose), releasing oxygen"
What is the capital of Philippines?,The capital of Philippines is Manila.
Howdy,Hi! How can I help today?
What is 67 minus 91?,-24.
What is the capital of Greece?,The capital of Greece is Athens.
What is gravity?,Gravity is the force of attraction that pulls two masses toward each other.
What is 83 plus 13?,96.
What is 90 times 23?,2070.
Hey there,Hi! How can I help today?
What is 37 minus 54?,-17.
What is the capital of Singapore?,The capital of Singapore is Singapore.
How many continents are there?,Seven.
What is the speed of light in vacuum?,"About 299,792,458 meters per second."
What is 4 plus 67?,71.
What is machine learning?,Machine learning is a field of AI where models learn patterns from data to make predictions or decisions.
What is 98 minus 98?,0.
What is 8 minus 46?,-38.
What is 64 plus 33?,97.
What is 95 minus 68?,27.
Appreciate it.,Anytime!
What is the capital of United Kingdom?,The capital of United Kingdom is London.
What is the capital of Morocco?,The capital of Morocco is Rabat.
Define database index.,Here’s a concise definition of database index: a data structure that speeds up data retrieval operations
What is 43 times 59?,2537.
What is the capital of Switzerland?,The capital of Switzerland is Bern.
What is 24 plus 76?,100.
What is 74 times 37?,2738.
Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa.
What is 88 times 19?,1672.
What is the capital of Indonesia?,The capital of Indonesia is Jakarta.
Good afternoon,Hi! How can I help today?
What is 31 plus 64?,95.
What is the capital of Belgium?,The capital of Belgium is Brussels.
What is the capital of Chile?,The capital of Chile is Santiago.
What is 22 times 11?,242.
Tell me a joke.,Why did the scarecrow win an award? Because he was outstanding in his field.
What is 52 minus 96?,-44.
What is 16 times 3?,48.
What is 42 minus 68?,-26.
What is 77 minus 44?,33.
What is the capital of Nigeria?,The capital of Nigeria is Abuja.
What is 40 times 56?,2240.
What planet is known as the Red Planet?,Mars is known as the Red Planet.
What is 34 plus 84?,118.
What is the capital of Austria?,The capital of Austria is Vienna.
What is 5 minus 4?,1.
What is 20 minus 87?,-67.
Translate 'thank you' into French.,“Thank you” in French is “merci.”
What is the capital of Australia?,The capital of Australia is Canberra.
Got a short pun?,I’m reading a book on anti-gravity. It’s impossible to put down.
What's up?,Good evening! What would you like to know?
What is the capital of France?,The capital of France is Paris.
What is 91 times 22?,2002.
What is 29 minus 7?,22.
What is 10 minus 84?,-74.
What is 91 times 64?,5824.
What is 62 plus 10?,72.
What is 41 plus 60?,101.
What is 84 minus 81?,3.
What is the capital of Qatar?,The capital of Qatar is Doha.
What is 16 minus 91?,-75.
What is the capital of South Korea?,The capital of South Korea is Seoul.
How do I print in Python?,"Use the print() function, e.g. print(""Hello, world!"")."
What is the capital of Netherlands?,The capital of Netherlands is Amsterdam.
That’s all for now.,Great — have a good one!
What is 40 minus 56?,-16.
What is the capital of United States?,"The capital of United States is Washington, D.C.."
What is 50 plus 23?,73.
What is 62 plus 86?,148.
What is 99 minus 41?,58.
What is 10 times 78?,780.
What is the capital of Portugal?,The capital of Portugal is Lisbon.
What is 13 times 67?,871.
What is the capital of Canada?,The capital of Canada is Ottawa.
What is 7 minus 74?,-67.
Another joke please.,"I told my computer I needed a break, and it said: 'No problem — I’ll go to sleep.'"
What is 37 times 70?,2590.
What is 70 minus 13?,57.
What is 14 plus 52?,66.
What is 19 plus 18?,37.
What is 72 minus 62?,10.
What is 39 plus 74?,113.
What is the capital of Denmark?,The capital of Denmark is Copenhagen.
How do I loop over a list in Python?,"Use for: 

for x in nums:
    print(x)"
What is the largest mammal?,The blue whale.
Thanks!,You’re welcome — happy to help.
What is 60 times 69?,4140.
What is 12 plus 85?,97.
